2026-03-06T20:58:36: 2026-03-06 20:58:36 | INFO    | 🏆 ТОП-1 новость: Боевик с Киану Ривзом обрел исполнительницу главной женской роли (score=1101)
2026-03-06T20:58:36: 2026-03-06 20:58:36 | INFO    | 🏆 ТОП-1 для обработки: Боевик с Киану Ривзом обрел исполнительницу главной женской роли
2026-03-06T20:58:36: 2026-03-06 20:58:36 | INFO    | 🔍 LLM classify для ТОП-1...
2026-03-06T20:58:36: 2026-03-06 20:58:36 | INFO    | 💾 Cache hit: classify
2026-03-06T20:58:36: 2026-03-06 20:58:36 | INFO    | ✅ LLM одобрил ТОП-1
2026-03-06T20:58:36: 2026-03-06 20:58:36 | INFO    | 💾 Cache hit: generate
2026-03-06T20:58:36: 2026-03-06 20:58:36 | INFO    | 📤 Попытка отправки 1/3
2026-03-06T20:58:37: 2026-03-06 20:58:37 | INFO    | ✅ Пост отправлен в предложку (ID: e0c443724e8adbbb)
2026-03-06T20:58:37: 2026-03-06 20:58:37 | INFO    | ✅ ТОП-1 новость отправлена в предложку
2026-03-06T20:58:37: 2026-03-06 20:58:37 | INFO    | ⏱️ Время обработки цикла: 29.52 сек
2026-03-06T20:58:37: 2026-03-06 20:58:37 | INFO    | ✅ Опубликовано: 1
2026-03-06T20:58:37: 2026-03-06 20:58:37 | INFO    | 😴 ☀️ ДЕНЬ | Следующий ци��л через 26 мин 59 сек
2026-03-06T21:11:56: 2026-03-06 21:11:56 | INFO    | 🛑 Получен сигнал остановки: 2
2026-03-06T21:12:18: 2026-03-06 21:12:16 | INFO    | ✅ Глобальная дедупликация включена
2026-03-06T21:12:18: 2026-03-06 21:12:17 | INFO    | 📊 Prometheus метрики запущены на порту http://localhost:8002/metrics (bot=cinema)
2026-03-06T21:12:18: 2026-03-06 21:12:17 | INFO    | ✅ Prometheus метрики запущены на порту 8002
2026-03-06T21:12:18: 2026-03-06 21:12:17 | INFO    | ✅ Локальная БД инициализирована
2026-03-06T21:12:20: 2026-03-06 21:12:20 | INFO    | ✅ Глобальная БД дедупликации инициализирована
2026-03-06T21:12:23: 2026-03-06 21:12:22 | INFO    | 💾 Загружен кэш: 421 записей
2026-03-06T21:12:23: 2026-03-06 21:12:22 | INFO    | ✅ Планировщик дайджестов запущен (23:00 daily)
2026-03-06T21:12:23: 2026-03-06 21:12:22 | INFO    | ============================================================
2026-03-06T21:12:23: 2026-03-06 21:12:22 | INFO    | 🚀 @Film_orbita PRODUCTION 2026 — OPTIMIZED
2026-03-06T21:12:23: 2026-03-06 21:12:22 | INFO    |    Модель: openai/gpt-oss-20b
2026-03-06T21:12:23: 2026-03-06 21:12:22 | INFO    |    Лимит: 48 постов/день, 3/цикл
2026-03-06T21:12:23: 2026-03-06 21:12:22 | INFO    |    Фидов за цикл: 4 из 7
2026-03-06T21:12:23: 2026-03-06 21:12:22 | INFO    |    ⚡ Автоодобрение: 1+ HOT слово
2026-03-06T21:12:23: 2026-03-06 21:12:22 | INFO    |    🔄 Fuzzy дубликаты: порог 85%
2026-03-06T21:12:23: 2026-03-06 21:12:22 | INFO    |    💾 Кэш��рование: 421 записей
2026-03-06T21:12:23: 2026-03-06 21:12:22 | INFO    |    🚫 Защита от выдумок: ВКЛ
2026-03-06T21:12:23: 2026-03-06 21:12:22 | INFO    |    🕒 Приоритет свежести: <2 часов
2026-03-06T21:12:23: 2026-03-06 21:12:22 | INFO    |    🚫 Чёрный список: 1 доменов
